序号,产品ID,类型,线路名称,副标题,出发地,携程价格,天数,基础加成价,服务溢价,折扣空间,最终建议价,你的价格,评分,评论数,月销量,图片URL,标签
631,18113803,一日游,【9人精品小团】重庆武隆天生三桥+龙水峡地缝一日游,,重庆出发,228,1,400,100元,×1.15,500,,5.0,242,,https://dimg04.c-ctrip.com/images//0584q12000ogk27923899_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
632,72620585,拼小团,重庆+武隆区5日4晚拼小团,『8人封顶·升级5钻酒店』赠两江夜游船+芙蓉江游船·玩山城网红·赏武隆奇观·专车接送机,重庆出发,1995,5,4800,500元,×1.15,6000,,,,,"https://dimg04.c-ctrip.com/images/0300v12000coysii1ABF5_C_420_420.jpg?proc=crop/m_c,w_896,h_896,x_391,y_112,63AE","0购物,成团保障,0自费"
633,72051365,私家团,仙女山国家森林公园+蚩尤九黎城+武隆天生三桥+乌江画廊+武陵山大裂谷6日5晚私家团,【初夏特惠来袭咨询领取至高立减800】宿口碑5钻酒店>解锁武隆地心秘境+邂逅仙女山云端牧歌>24小时专属管家服务&司机师傅1v1接送服务,重庆出发,3990,6,12100,600元,×1.15,14600,,,,,"https://dimg04.c-ctrip.com/images/0301e12000rdr8eg27334_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1",成团保障
634,105086271,一日游,奉节/宜昌出发世纪江山如诗豪华游轮一日游丨千里江陵一日还,,奉节出发,699,1,1300,100元,×1.15,1600,,5.0,,3,https://dimg04.c-ctrip.com/images/0355d12000rxca79rFF1E_C_420_420.png,"无购物,有条件退"
635,33132587,自由行,长江三峡4日3晚自由行,长江海外全新游轮 高端旗舰-长江三号 游轮一价全含-【全程自助餐+私家阳台客房】饱览峡江风光 享诗意三峡旅程 重庆登船,重庆出发,4683,4,12800,400元,×1.15,15100,,4.8,562,562,"https://dimg04.c-ctrip.com/images/0304912000fuiaguuE557_R_420_420.jpg?proc=crop/m_c,w_873,h_873,x_0,y_0,g_center,1B83",
636,47405108,一日游,巫溪红池坝风景区一日游【私家包车游】大草原避暑胜地 私家团】,,奉节出发,499,1,900,100元,×1.15,1100,,5.0,,,https://dimg04.c-ctrip.com/images//0584w12000mzrbjqzEC9B_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
637,35305539,拼小团,重庆4日3晚拼小团,『自在山城5钻·8人封顶』双体验·两江游船+云端之眼·1天市区网红+1天自由定制·含接送机,重庆出发,1059,4,2500,400元,×1.15,3300,,4.5,,81,"https://dimg04.c-ctrip.com/images/0303j12000lvp2il0306E_R_420_420.jpg?proc=crop/m_c,w_832,h_832,x_0,y_0,g_center,A5E7","0购物,成团保障,0自费"
638,72040503,私家团,武隆区+涪陵区+重庆5日4晚私家团,初夏特惠来袭，咨询客服下单立减188【限时赠送两江夜游船票】【感受两江交汇、榨菜飘香，巴国故都藏着816秘境与武陵风】,重庆出发,3138,5,9500,500元,×1.15,11500,,,,,"https://dimg04.c-ctrip.com/images/0306t12000rhw561p64AB_R_420_420.jpg?proc=crop/m_c,w_1619,h_1619,x_0,y_0,g_center,35F9",成团保障
639,63804213,跟团游,重庆+成都+九寨沟+黄龙风景名胜区8日7晚跟团游,『成渝双城记』童话九寨高铁节约8H+保姆车+金牌导游+天坑地缝+吊脚楼+两江游+专车接送,重庆出发,4205,8,9400,800元,×1.15,11700,,,,6,"https://dimg04.c-ctrip.com/images/0303w12000mtczjfv96CF_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_0,y_0,g_center,0D6C","0购物,成团保障"
640,60739017,自由行,重庆5日4晚自由行,『1日包车·玩法自选』宿榜单4&5钻连住+严选好司机【热门玩法4选1】市区1日经典渣滓洞&长江索道&洪崖洞/《黑神话:悟空》取景地大足石刻/武隆天坑地缝/梦幻奥陶纪|Citywalk游山城&爱姐重动等你,重庆出发,656,5,1800,500元,×1.15,2600,,4.7,153,153,"https://dimg04.c-ctrip.com/images/0300z12000bv4uz5h8B62_R_420_420.jpg?proc=crop/m_c,w_576,h_576,x_-77,y_0,g_center,484A",
641,94072273,一日游,重庆夜景游船+山城夜景晚班游船【电子票无需取票换票】,,重庆出发,98,3,100,300元,×1.15,400,,4.8,,,https://dimg04.c-ctrip.com/images//0583712000n3pgzvmDE0D_C_420_420.jpg,"立即确认,无购物,有条件退"
642,93683676,一日游,重庆两江游船山城美景白天游船晚霞游船免取票电子票扫码上船,,重庆出发,60,3,100,300元,×1.15,400,,4.8,,4,https://dimg04.c-ctrip.com/images//0585i12000n18ehf2E747_C_420_420.jpg,"立即确认,无购物,有条件退"
643,68257094,一日游,重庆夜景游船重庆两江游船+免费上甲板+表演【电子票无需取票】,,重庆出发,60,3,100,300元,×1.15,400,,4.6,,7,https://dimg04.c-ctrip.com/images/0353q12000qhgglb9789B_C_420_420.jpg,"立即确认,有条件退"
644,71946330,私家团,武隆区+涪陵区5日4晚私家团,【咨询立减 288】一单一团！畅玩武隆天生三桥、龙水峡地缝，打卡网红白马山，探秘武陵山大峡谷，游览白鹤梁人文古迹。专属行程管家全程护航，沉浸式领略渝东山水盛景与千年人文风情。,重庆出发,3965,5,12000,500元,×1.15,14300,,,,,"https://dimg04.c-ctrip.com/images/0303k12000rxcjmdt2CC5_R_420_420.jpg?proc=crop/m_c,w_1621,h_1621,x_-2,y_0,g_center,88F8",成团保障
645,52837978,一日游,重庆金佛山一日游【2-8人小团|含索道往返|无购物|上门接】,,重庆出发,364,1,700,100元,×1.15,900,,5.0,,,https://dimg04.c-ctrip.com/images//0584012000nmfu3loAD2A_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
646,91467180,一日游,8人团丨九黎城+龚滩古镇+乌江画廊游船一日游·商圈上门接,,重庆出发,278,1,500,100元,×1.15,600,,4.3,,7,https://dimg04.c-ctrip.com/images/0351w12000o7i5zvn95DF_C_420_420.jpg,"无购物,上门接,有条件退"
647,68221660,拼小团,重庆4日3晚拼小团,『8人小团』优选车型+商圈酒店+精华景点串游+充足自由活动 +24H旅游管家为您保驾护航,重庆出发,811,4,1900,400元,×1.15,2600,,,,2,"https://dimg04.c-ctrip.com/images/0303e12000ngbwfl75137_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_0,y_0,g_center,0D6C","免费退,0购物,成团保障"
648,66988728,私家团,重庆3日2晚私家团,节后错峰「降幅真的大」!咨询整单至高立减800元！宿5钻酒店【世遗武隆·天生三桥+龙水峡地缝+仙女山国家森林公园】【夜游】重庆两江游船【打卡】山城步道·李子坝轻轨穿楼·鹅岭二厂·洪崖洞,重庆出发,2333,3,7100,300元,×1.15,8500,,,,,"https://dimg04.c-ctrip.com/images/0303312000q1zkyvg21BC_R_420_420.jpg?proc=crop/m_c,w_1607,h_1607,x_0,y_-80,g_center,AC03",成团保障
649,107385005,一日游,重庆武隆天生三桥+龙水峡地缝+乌江纯玩一日游 2-8人小团,,重庆出发,158,1,300,100元,×1.15,400,,5.0,,1,https://dimg04.c-ctrip.com/images/0351f12000sddkrjvBAF0_C_420_420.png,"无购物,上门接,有条件退"
650,62772910,自由行,重庆+长江三峡+重庆三峡游船+宜昌3日2晚自由行,重庆市区出发：万州登船<纯玩0购>楚天系列游轮：总2维3星光号·全程含2正2早餐，住江景房（2人/间），含：长寿古镇/天生城/白帝城/三峡大坝，观瞿塘巫峡,重庆出发,1151,3,3100,300元,×1.15,3900,,,,9,"https://dimg04.c-ctrip.com/images/0306s12000exnmz575B48_R_420_420.jpg?proc=crop/m_c,w_1080,h_1080,x_0,y_0,g_center,1E83",
651,66054655,一日游,奉节+巫山+瞿塘峡+巫峡+神女峰一日游【双峡一峰游船船票】,,奉节出发,168,1,300,100元,×1.15,400,,4.8,,12,https://dimg04.c-ctrip.com/images/01002120006wcdpq7CE3C_C_420_420.jpg,"无购物,有条件退"
652,38936487,跟团游,重庆+成都+成都大熊猫繁育研究基地+三星堆博物馆5日4晚跟团游,『自营自创·16人团』赠送两江夜游船票+导游带玩+特色竹笋宴+商圈酒店+专车接站送/机,重庆出发,2170,5,4800,500元,×1.15,6000,,4.9,689,689,"https://dimg04.c-ctrip.com/images/100g0u000000j7yc61632_C_420_420.jpg?proc=crop/m_c,w_2333,h_2333,x_584,y_0,2543","0购物,成团保障"
653,72068439,私家团,仙女山国家森林公园+蚩尤九黎城+武隆天生三桥+乌江画廊+武陵山大裂谷7日6晚私家团,【初夏特惠来袭咨询领取至高立减800】宿口碑5钻酒店>解锁武隆地心秘境+邂逅仙女山云端牧歌>24小时专属管家服务&司机师傅1v1接送服务,重庆出发,4815,7,14600,700元,×1.15,17500,,,,,https://dimg04.c-ctrip.com/images/0303m12000rdr944eF469_C_420_420.jpg,成团保障
654,39572550,拼小团,重庆2日1晚拼小团,8人封顶·大足『北山石刻+宝顶山石刻』+市区经典『长江索道丨磁器口丨李子坝丨洪崖洞』,重庆出发,680,2,1600,200元,×1.15,2000,,5.0,211,211,"https://dimg04.c-ctrip.com/images/0300612000cl1t5tm7912_R_420_420.jpg?proc=crop/m_c,w_504,h_504,x_0,y_0,g_center,BC8C","立即确认,0购物,成团保障,上门接"
655,63152431,自由行,重庆4日3晚自由行,烟火山城-江峡相拥-沉浸体验·巴渝风情浓郁『甄选重庆核心商圈四钻高奢酒店任意您选』接机接站+行程管家服务-静谧时光来场说走就走的旅行-玩美山水之城独具魅力,重庆出发,562,4,1500,400元,×1.15,2100,,,,1,"https://dimg04.c-ctrip.com/images/0306d12000segklfkF040_R_420_420.jpg?proc=crop/m_c,w_1320,h_1320,x_221,y_0,g_center,4244",
656,75971014,一日游,奉节/宜昌出发 世纪江山如诗豪华游轮畅游长江三峡 一日游,,奉节出发,699,1,1300,100元,×1.15,1600,,5.0,,46,https://dimg04.c-ctrip.com/images/0351812000fhe2ax347E5_C_420_420.jpg,"无购物,有条件退"
657,93813935,一日游,武隆天生三桥+仙女山+乌江画廊【拼小团可包车】,,重庆出发,168,3,300,300元,×1.15,600,,5.0,,1,https://dimg04.c-ctrip.com/images//0581g12000n3p6t6f9FD5_C_420_420.jpg,"立即确认,无购物,上门接"
658,37540241,一日游,长江索道+两江小渡+白公馆+渣滓洞+轻轨穿楼+洪崖洞一日游,,重庆出发,123,1,200,100元,×1.15,300,,4.9,,6,https://dimg07.c-ctrip.com/images/100a0s000000hmw2213B9_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
659,72060058,私家团,仙女山国家森林公园+蚩尤九黎城+武隆天生三桥+乌江画廊+武陵山大裂谷4日3晚私家团,【初夏特惠来袭咨询领取至高立减800】宿2晚口碑5钻酒店>解锁武隆地心秘境+邂逅仙女山云端牧歌>24小时专属管家服务&1v1接送服务,重庆出发,3530,4,10700,400元,×1.15,12700,,,,,https://dimg04.c-ctrip.com/images/0301512000rdr80tx4BBA_C_420_420.jpg,成团保障
660,46870907,一日游,水陆空重庆熊猫巴士一日游,,重庆出发,198,1,300,100元,×1.15,400,,4.5,,8,https://dimg04.c-ctrip.com/images/0350l12000m86cb6y72A7_C_420_420.jpg,"无购物,有条件退"
661,88864829,一日游,吃长桌宴含正宗乌江画廊游船+蚩尤九黎城+龚滩古镇一价全含,,重庆出发,128,3,200,300元,×1.15,500,,4.7,,5,https://dimg04.c-ctrip.com/images/0353f12000j41fpmvCFA8_C_420_420.jpg,"立即确认,无购物,有条件退"
662,63490399,跟团游,重庆+贵州+黄果树+荔波+西江千户苗寨6日5晚跟团游,重庆+贵州优选·20人团|2+1头等舱|宿西江赏夜景|赠青岩古镇+山城夜景两江游|专车接送,重庆出发,2771,6,6200,600元,×1.15,7800,,4.9,,21,"https://dimg04.c-ctrip.com/images/0305s12000nmkxz0x9EFB_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_0,y_0,g_center,0D6C","0购物,成团保障"
663,71850062,私家团,重庆+宜昌4日3晚私家团,【咨询客服至高立减 800】下单赠赠登船晚餐&两江夜游|含 24H 接机|享中西自助美食打|深度游玩三峡沿线精华景点风光,重庆出发,2286,4,6900,400元,×1.15,8300,,,,,"https://dimg04.c-ctrip.com/images/0305l12000rhw4bs3603C_C_420_420.jpg?proc=crop/m_c,w_1080,h_1080,x_0,y_180,2EEE",成团保障
664,64899426,一日游,重庆天眼洞花岭风景区半日游【<洞穴探险> 岩降/绝壁飞拉达】,,重庆出发,558,3,1100,300元,×1.15,1600,,5.0,,12,https://dimg04.c-ctrip.com/images//0586i12000nsrskl00A6C_C_420_420.jpg,"无购物,有条件退"
665,67013841,自由行,重庆5日4晚自由行,【精选核心商圈4钻/5钻酒店任意选】【精品车型任意选经济型5座/商务7座/商务9座等等】随心所欲想停就停想走就走/经典行程，纯玩无购物,重庆出发,640,5,1700,500元,×1.15,2500,,4.5,,51,"https://dimg04.c-ctrip.com/images/0306012000q2qyoao8951_R_420_420.jpg?proc=crop/m_c,w_666,h_666,x_0,y_0,g_center,BAAB",无购物
666,60311991,一日游,古路村一日游【悬崖天梯+峡谷风光+成都周边徒步1日纯玩】,,成都出发,128,1,200,100元,×1.15,300,,4.6,,25,https://dimg04.c-ctrip.com/images//0583612000rpm0oiu1D7D_C_420_420.jpg,"立即确认,无购物,有条件退"
667,61761385,拼小团,成都+重庆+三星堆博物馆4日3晚拼小团,8人内小团+三星堆含导游精讲|赠两江夜游船&川剧变脸|5钻酒店&重庆/天府24h接送机/站,重庆出发,2120,4,5100,400元,×1.15,6300,,,,5,"https://dimg04.c-ctrip.com/images/0300z12000k19fwm2638D_C_420_420.jpg?proc=crop/m_c,w_720,h_720,x_280,y_0,B6AF","0购物,成团保障"
668,71849323,私家团,重庆+宜昌6日5晚私家团,【咨询客服至高立减 800】下单赠赠登船晚餐&两江夜游|含 24H 接送机|享中西自助美食打|深度游玩三峡沿线精华景点风光,重庆出发,2619,6,7900,600元,×1.15,9700,,,,,https://dimg04.c-ctrip.com/images/0302b12000rhw52kf1524_C_420_420.jpg,成团保障
669,63235160,跟团游,重庆+成都+九寨沟+黄龙风景名胜区+都江堰+三星堆博物馆7日6晚跟团游,《成都重庆双城7日+熊猫基地》《五星豪生温泉酒店》头等舱保姆车+藏家晚会+免费接送机,重庆出发,2823,7,6300,700元,×1.15,8000,,,,2,https://dimg04.c-ctrip.com/images/0304r12000ka6528562A5_C_420_420.jpg,"0购物,成团保障"
670,67623313,自由行,重庆3日2晚自由行,『放肆嗨•重庆』可自由组合包车玩市区（解放碑、磁器口、洪崖洞等）『精选解放碑/洪崖洞商圈4钻酒店任选2晚连住』5座/7座别克商务任选&可自选重庆两江夜游船票,重庆出发,364,3,1000,300元,×1.15,1400,,,,1,"https://dimg04.c-ctrip.com/images/10020s000000hqkwh48D9_C_420_420.jpg?proc=crop/m_c,w_1815,h_1815,x_593,y_0,F2B9",
671,89584371,一日游,安岳石刻南线包车一日游【重庆出发】,,重庆出发,1197,1,2300,100元,×1.15,2700,,5.0,,,https://dimg04.c-ctrip.com/images/0355d12000j57rvxtE902_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
672,89595174,一日游,安岳石刻南线私家团一日游【含门票﹥独立用车﹥重庆出发】,,重庆出发,347,1,600,100元,×1.15,800,,5.0,,,https://dimg04.c-ctrip.com/images/0351712000jh4qd5l72AC_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
673,89595120,一日游,安岳石刻北线私家团一日游【含门票﹥独立用车﹥重庆出发】,,重庆出发,387,1,700,100元,×1.15,900,,5.0,,,https://dimg04.c-ctrip.com/images/0354e12000jh4ox8o0230_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
674,40817082,私家团,重庆+长江三峡5日4晚私家团,咨询立减【爸妈畅游三峡 一站式服务体验】〖美式管理服务上乘〗一线江景豪华阳台标间+饕鬄美食盛宴【重庆/宜昌 独立小车】8D魔幻城市内包车游·1V1管家24小时服务，重庆进宜昌出,重庆出发,4156,5,12600,500元,×1.15,15000,,,,4,"https://dimg04.c-ctrip.com/images/0304z12000mchyx7w885E_R_420_420.jpg?proc=crop/m_c,w_1528,h_1528,x_0,y_0,g_center,F2A5",成团保障
675,70081814,一日游,边城茶峒+清水江游船+矮寨悬崖栈道+矮寨大桥+天问台一日游,,凤凰县出发,248,1,400,100元,×1.15,500,,4.9,312,30,https://dimg04.c-ctrip.com/images/0104t120008ouqbsl7DE8_C_420_420.jpg,"立即确认,无购物,有条件退"
676,70061412,一日游,矮寨大桥+矮寨悬崖栈道+天问台+边城茶峒+清水江游船一日游,,吉首出发,248,1,400,100元,×1.15,500,,5.0,,19,https://dimg04.c-ctrip.com/images//0584612000n1az87rC054_C_420_420.jpg,"立即确认,无购物,有条件退"
677,69143371,跟团游,重庆+酉阳5日4晚跟团游,慢游酉阳｜专业导游｜宝马专车接送｜泛舟乌江｜探访桃花源｜体验非遗｜住重庆高空江景,重庆出发,1950,5,4300,500元,×1.15,5500,,,,,"https://dimg04.c-ctrip.com/images/0307212000rf8tbxs23A7_R_420_420.jpg?proc=crop/m_c,w_3072,h_3072,x_0,y_0,g_center,B5BF","立即确认,0购物,成团保障,0自费"
678,72606838,私家团,重庆+长江三峡+宜昌5日4晚私家团,咨询下单领优惠【2026新船·长江云帆号】赠送登船晚餐+电力静音+北斗导航+1.8 万吨巨轮+7层甲板+功能分区+全程自助餐饮+精华上岸游览+重庆五星酒店1晚+重庆市区包车游,重庆出发,4115,5,12500,500元,×1.15,14900,,,,,"https://dimg04.c-ctrip.com/images/0305j12000shwz45r05A5_R_420_420.jpg?proc=crop/m_c,w_872,h_872,x_16,y_12,g_center,0A7C",成团保障
679,70055521,一日游,边城茶峒+边城洪安+矮寨奇观旅游区【一脚踏三省/三省闻鸡鸣】,,凤凰县出发,248,3,400,300元,×1.15,800,,5.0,,17,https://dimg04.c-ctrip.com/images/0351n12000ogumuwy6E4A_C_420_420.jpg,"立即确认,无购物,有条件退"
680,63367770,自由行,重庆+成都5日4晚自由行,赠两地接送【川渝双城记】含重庆-成都高铁/动车·自选核心商圈酒店『当地玩法供您参考·自由玩转三星堆/峨眉山/乐山大佛/都江堰/熊猫等+洪崖洞/李子坝轻轨穿楼/磁器口古镇/长江索道 』,重庆出发,1121,5,3000,500元,×1.15,4000,,,,1,"https://dimg04.c-ctrip.com/images/0301712000o8a6l4sD4DB_R_420_420.jpg?proc=crop/m_c,w_1678,h_1678,x_0,y_0,g_center,A000",
681,91227337,一日游,矮寨大桥+悬崖栈道+茶峒边城+洪安边城一日游【畅游湘西】,,凤凰县出发,198,1,300,100元,×1.15,400,,5.0,,6,https://dimg04.c-ctrip.com/images/0353s12000l8uxagj0795_C_420_420.jpg,"立即确认,上门接,有条件退"
682,40544883,拼小团,重庆+武隆区+大足石刻5日4晚拼小团,『8人小团·两江游船』解放碑商圈酒店·潮玩网红山城·文化宝藏大足石刻双景·武隆奇观,重庆出发,1924,5,4700,500元,×1.15,5900,,4.9,263,263,"https://dimg04.c-ctrip.com/images/0580212000n8nkm611495_R_420_420.jpg?proc=crop/m_c,w_800,h_800,x_0,y_0,g_center,3BA8","免费退,0购物,成团保障,0自费"
683,64320554,私家团,重庆+宜昌4日3晚私家团,"免费定制【山城+三峡奇妙之旅】重神秘边城，魅力秀山+市内商圈4钻好酒店『市内全景&夜游长江·跨江索道+穿楼轻轨,红色记忆,8D魔都』两坝一峡&观国之重器「赠两江夜游」重庆参团",重庆出发,2654,4,8000,400元,×1.15,9600,,,,,"https://dimg04.c-ctrip.com/images/0300m12000m4nqi319A99_R_420_420.jpg?proc=crop/m_c,w_989,h_989,x_0,y_0,g_center,12DD","立即确认,成团保障"
684,35059906,跟团游,重庆+长江三峡5日4晚跟团游,世纪邮轮&宿180度江景阳台房+华美达酒店｜全程自助餐/赠酒水夜宵+赏三峡10景+重庆8景,重庆出发,4879,5,10900,500元,×1.15,13100,,5.0,142,142,"https://dimg04.c-ctrip.com/images/0301e12000l674e5hB2A0_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261","0购物,成团保障"
685,68784012,自由行,重庆6日5晚自由行,【重庆心动自由行·cosy私游】自选宿品质酒店·深度好眠！赠专车接送机服务·零奔波！自由解锁魔幻山城！自由不跟团睡到自然醒，爱咋玩就咋玩！,重庆出发,827,6,2200,600元,×1.15,3200,,,,1,"https://dimg04.c-ctrip.com/images/0302212000rbb07nm7960_R_420_420.png?proc=crop/m_c,w_1719,h_1719,x_0,y_0,g_center,C28E",
686,103168348,一日游,【中午出发•上门接送2-6人小团】边城茶峒+夜游芙蓉镇一日游,,凤凰县出发,388,1,700,100元,×1.15,900,,5.0,,21,https://dimg04.c-ctrip.com/images/0352e12000r4z3uqb1C1B_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
687,89439159,一日游,矮寨大桥+悬崖栈道+茶峒边城+芙蓉镇一日游【品质夜游芙蓉镇】,,凤凰县出发,598,1,1100,100元,×1.15,1300,,5.0,,9,https://dimg04.c-ctrip.com/images/0352912000o9qihvyF24C_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
688,61390816,一日游,凤凰古城+边城茶峒+洪安边城+拉拉渡一日游,,铜仁出发,498,1,900,100元,×1.15,1100,,5.0,,4,https://dimg04.c-ctrip.com/images/0102g120009d44df9E72A_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
689,72066225,私家团,仙女山国家森林公园+蚩尤九黎城+武隆天生三桥+乌江画廊+武陵山大裂谷8日7晚私家团,【初夏特惠来袭咨询领取至高立减800】宿口碑5钻酒店>解锁武隆地心秘境+邂逅仙女山云端牧歌>24小时专属管家服务&司机师傅1v1接送服务,重庆出发,4935,8,15000,800元,×1.15,18100,,,,,"https://dimg04.c-ctrip.com/images/0301e12000rdr8eg27334_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1",成团保障
690,99624332,一日游,德夯大峡谷+苗寨+流沙瀑布+清水江游船+边城茶峒一日游,,凤凰县出发,288,1,500,100元,×1.15,600,,4.8,,11,https://dimg04.c-ctrip.com/images/0355c12000oja1eq06134_C_420_420.jpg,"立即确认,无购物,有条件退"
691,99447821,一日游,【中午12点出发】边城茶峒+拉拉渡+夜游芙蓉镇+瀑布一日游,,凤凰县出发,388,1,700,100元,×1.15,900,,4.7,,2,https://dimg04.c-ctrip.com/images/0351i12000oeju66v759E_C_420_420.jpg,"立即确认,无购物,有条件退"
692,71311939,拼小团,重庆+武隆区4日3晚拼小团,『8人小团·赠两江游船+乌江游船』自选3钻酒店·打卡市区网红·经典武隆奇观·探秘九黎城,重庆出发,1388,4,3400,400元,×1.15,4300,,,,,"https://dimg04.c-ctrip.com/images/0303112000m40y7xk37FA_R_420_420.jpg?proc=crop/m_c,w_1024,h_1024,x_0,y_0,g_center,DFC8","0购物,成团保障,0自费"
693,68922432,私家团,重庆+武隆区+大足区5日4晚私家团,【初夏特惠来袭咨询领取至高立减800】亲子甄选·宿口碑5钻酒店【赠】两江夜游船票+大足石刻博物馆讲解>览武隆喀斯特+品大足千年禅意,重庆出发,3462,5,10500,500元,×1.15,12600,,,,9,"https://dimg04.c-ctrip.com/images/0302k12000qjv1i6bBAD7_R_420_420.png?proc=crop/m_c,w_1440,h_1440,x_-1,y_0,g_center,1DEB",成团保障
694,93826884,一日游,矮寨大桥+矮寨悬崖栈道+边城茶峒景区一日游【寻味边城】,,吉首出发,458,1,900,100元,×1.15,1100,,5.0,,2,https://dimg04.c-ctrip.com/images/1lo1b12000dkbcl070BFA_C_420_420.jpg,"立即确认,上门接,有条件退"
695,68352634,自由行,重庆武陵山大裂谷+816工程景区2日1晚自由行,枳人客栈1晚【双人套餐】,重庆出发,184,2,500,200元,×1.15,800,,,,4,"https://dimg04.c-ctrip.com/images/0301112000r08bspaCD5D_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_183,y_0,g_center,AFC7",
696,97550590,一日游,边城茶峒+边城洪安+矮寨奇观旅游区【一脚踏三省/三省闻鸡鸣】,,凤凰县出发,248,3,400,300元,×1.15,800,,5.0,,,https://dimg04.c-ctrip.com/images/0351a12000nk7fbp8B5ED_C_420_420.jpg,"立即确认,无购物,有条件退"
697,59498191,拼小团,重庆4日3晚拼小团,「巴渝行·封顶8人」赠特色竹筏体验+本土老火锅丨武隆『天坑三桥+仙女山』+市区经典,重庆出发,1238,4,3000,400元,×1.15,3900,,,,14,"https://dimg04.c-ctrip.com/images/0301e12000isj0xpu6689_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_0,y_0,g_center,0D6C","立即确认,0购物,成团保障,0自费"
698,41836739,私家团,重庆+长江三峡5日4晚私家团,【三峡豪华游轮值得冲】电力推进 新型游轮 无噪音 【世纪系列游轮·高品质管家式服务】【给爸妈高奢体验】『一线江景阳台房』免费WIFI·码头免费行李搬运【赠2夜宵+登船晚餐】重庆进宜昌出,重庆出发,5368,5,16300,500元,×1.15,19300,,,,2,"https://dimg04.c-ctrip.com/images/0300612000lw630j79B97_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_0,y_0,g_center,0D6C",成团保障
699,71315769,拼小团,重庆+武隆区4日3晚拼小团,『8人小团·赠两江游船+乌江游船』自选5钻酒店·打卡市区网红·经典武隆奇观·探秘九黎城,重庆出发,1736,4,4200,400元,×1.15,5200,,,,,"https://dimg04.c-ctrip.com/images/0304f120008oln2j3A84F_C_420_420.jpg?proc=crop/m_c,w_300,h_300,x_153,y_38,F795","0购物,成团保障,0自费"
700,67623849,自由行,重庆2日1晚自由行,『放肆嗨•重庆』可自由组合包车玩市区（解放碑、磁器口、洪崖洞等）/大足石刻/武隆（仙女山、天坑地缝）『精选解放碑/洪崖洞商圈4钻酒店任选』5座/7座别克商务任选&可自选重庆两江夜游船票,重庆出发,233,2,600,200元,×1.15,900,,,,1,https://dimg04.c-ctrip.com/images/0100h12000lraq9y5C3FD_C_420_420.jpg,
701,97551108,一日游,6人小团上门接+边城茶峒+矮寨大桥+悬崖栈道+天问台一日游,,吉首出发,248,1,400,100元,×1.15,500,,5.0,,,https://dimg04.c-ctrip.com/images/0351y12000nqhmfto55C4_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
702,65159350,自由行,重庆+长江三峡+重庆三峡游船+宜昌4日3晚自由行,高性价比【楚天系列游轮·长江发现/传说号】住一线江景阳台房；全程中西自助餐，含三大上岸景点·船游长江三峡·观瞿塘巫峡盛景；重庆登船·赠重庆市内1日游,重庆出发,1499,4,4100,400元,×1.15,5100,,,,5,https://dimg04.c-ctrip.com/images/0301q12000oh8yl9vB986_C_420_420.jpg,
703,67701549,拼小团,武隆区+彭水2日1晚拼小团,『8人小团·赠乌江游船』商圈上门接·精选4钻酒店·探秘苗文化·逛千年古镇·赏武隆奇观,重庆出发,748,2,1800,200元,×1.15,2300,,,,,"https://dimg04.c-ctrip.com/images/0303j12000c894l11C44A_R_420_420.jpg?proc=crop/m_c,w_1474,h_1474,x_0,y_-147,g_center,12BD","免费退,0购物,成团保障,上门接,0自费"
704,71818149,私家团,武隆天生三桥+龙水峡地缝+大足石刻2日1晚私家团,初夏特惠来袭咨询立减100元 | 随心住市区高口碑五钻酒店【全程管家1v1为您服务】【金牌司机全程为您保驾护航】【打卡变形金刚取景地】体验大自然风光中的citywalk,重庆出发,1961,2,5900,200元,×1.15,7000,,,,,"https://dimg04.c-ctrip.com/images/0306t12000rhw561p64AB_R_420_420.jpg?proc=crop/m_c,w_1619,h_1619,x_0,y_0,g_center,35F9","免费退,成团保障"
