序号,产品ID,类型,线路名称,副标题,出发地,携程价格,你的价格,评分,图片URL,标签,路线亮点（外国人关注）,你的专业评价
498,71979391,私家团,重庆+成都+都江堰景区+乐山+峨眉山8日7晚私家团,【限时特惠 咨询立减】【赠长江索道门票/武侯祠讲解】专属接送机|解锁山水双佛+山城夜景+天府慢生活！,重庆出发,4190,15500,,/images/routes/route_71979391.png,成团保障,100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。
499,103709036,一日游,私家团●重庆+长寿湖+三倒拐+长寿缆车包车一日游●上门接送,,重庆出发,199,400,,/images/routes/route_103709036.jpg,"立即确认,无购物,上门接,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
500,65176382,自由行,重庆+长江三峡+重庆三峡游船+宜昌4日3晚自由行,赠重庆1日游【楚天系列游轮·长江如歌/长江神话号】住江景阳台房+游轮自助餐，含5大景点·鬼城/白帝城/烽烟三国或石宝寨/神女溪/大坝.·观瞿塘巫峡盛景；重庆登船,重庆出发,3288,10800,,/images/routes/route_65176382.jpg,,Night cruise on Yangtze & Jialing Rivers | Stunning skyline view with colorful lights | See Hongyaodong from the water,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
501,21396410,一日游,【8人小团】九黎城+乌江画廊·精华段【精品游船】一日游,,重庆出发,293,600,5.0,/images/routes/route_21396410.jpg,"立即确认,无购物,上门接,有条件退",Night cruise on Yangtze & Jialing Rivers | Stunning skyline view with colorful lights | See Hongyaodong from the water,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
502,34151928,拼小团,重庆+武隆区4日3晚拼小团,『8人小团·赠云端之眼+升级5钻』经典武隆天生三桥+仙女山·市区网红长江索道+轻轨穿楼,重庆出发,1345,4100,5.0,/images/routes/route_34151928.jpg,"0购物,成团保障,0自费",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 小团灵活性高，我可以根据大家兴趣微调行程。
503,72366387,私家团,重庆+成都+都江堰+三星堆博物馆5日4晚私家团,初夏福利来袭，咨询客服下单立减288*【咨询客服限时赠送三星堆拼团讲解】【赠送重庆两江夜游船票】看大熊猫·探秘三星堆+亲子模拟考古做青铜器·千年古堰&感受山城独特魅力,重庆出发,3213,11700,,/images/routes/route_72366387.jpg,成团保障,100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。
504,26816278,跟团游,重庆+武隆区4日3晚跟团游,性价比必选+金牌导游+全团满15位升级陆地头等舱+含特色餐竹笼宴+24h专车接送,重庆出发,1190,3400,4.5,/images/routes/route_26816278.jpg,"免费退,0购物,成团保障",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。
505,64147339,自由行,洪崖洞民俗风貌区+武隆喀斯特旅游区5日4晚自由行,【精选核心商圈4钻/5钻酒店任意选】【精品车型任意选经济型5座/商务7座/商务9座等等】随心所欲想停就停想走就走经典行程，纯玩无购物,重庆出发,1007,3600,4.7,/images/routes/route_64147339.jpg,无购物,UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 洪崖洞最佳拍照时间是日落后30分钟，灯光全开但未过热。
506,54257084,一日游,重庆丰都鬼城名山景区一日游【2-8人小团无购物+亲子游】,,重庆出发,398,900,5.0,/images/routes/route_54257084.jpg,"立即确认,无购物,上门接,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
507,89092535,一日游,武隆天生三桥+816工程+乌江画廊（涪陵段）一日游,,重庆出发,438,1000,5.0,/images/routes/route_89092535.jpg,"立即确认,无购物,上门接,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
508,105062942,一日游,巫山小三峡+小小三峡+三峡龙脊一日游【巫山出发6人精品小团】,,巫山出发,369,900,,/images/routes/route_105062942.jpg,"立即确认,无购物,上门接,有条件退",World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
509,72521094,私家团,重庆+成都+乐山4日3晚私家团,【咨询客服下单立减188】赠重庆夜游两江船票|魔幻山城洪崖洞璀璨夜景，邂逅成都呆萌国宝大熊猫，漫步宽窄巷子古韵老街，瞻仰乐山大佛千年人文奇观,重庆出发,2892,10500,,/images/routes/route_72521094.png,成团保障,100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。
510,99406920,一日游,万盛黑山谷景区+龙鳞石海一日游【一单一团|上门接送】,,重庆出发,228,500,5.0,/images/routes/route_99406920.jpg,"无购物,上门接,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
511,60313144,一日游,奉节白帝城+小三峡+小小三峡一日游【一价全含·纯玩无购物】,,巫山出发,449,1000,5.0,/images/routes/route_60313144.jpg,"立即确认,无购物,上门接,有条件退",World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
512,31479608,跟团游,长江三峡+重庆6日5晚跟团游,完整穿越三峡全段&船过葛洲坝船闸+西陵峡 美维邮轮江景阳台房+全程自助餐 赠3景上岸游,重庆出发,2852,8000,5.0,/images/routes/route_31479608.jpg,"0购物,成团保障",World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,这条路线评分5.0分，口碑很好，放心选。
513,72537064,私家团,重庆+成都+乐山+都江堰5日4晚私家团,【赠长江索道观光体验】咨询客服立享优惠|逛山城夜景|拜乐山大佛|游千年都江堰 |川渝环线轻奢私家小团,重庆出发,3336,12100,,/images/routes/route_72537064.jpg,成团保障,100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。
514,104776562,一日游,九黎城+乌江游船+龚滩古镇一日游【可定制重庆周边所有线路】,,重庆出发,168,400,4.3,/images/routes/route_104776562.jpg,"立即确认,无购物,有条件退","Ancient town with 1700+ years history | Try local snacks: 陈麻花, 酸辣粉 | Traditional crafts and tea houses",一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 注意：这条路线评分4.3分，我会帮你优化体验。
515,66913768,自由行,重庆5日4晚自由行,【精选核心商圈4钻/5钻酒店任意选】【精品车型经济型5座/商务7座/商务9座等等】随心所欲想停就停想走就走经典行程，纯玩无购物/无进店,重庆出发,1366,4800,,/images/routes/route_66913768.jpg,无购物,Carefully selected top attractions | Professional English-speaking guide,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
516,47807045,一日游,巫溪兰英大峡谷+宁厂古镇一日游【私藏线路、6人小团】,,奉节出发,478,1100,5.0,/images/routes/route_47807045.jpg,"立即确认,无购物,上门接,有条件退","Ancient town with 1700+ years history | Try local snacks: 陈麻花, 酸辣粉 | Traditional crafts and tea houses",一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
517,36502883,拼小团,重庆+武隆区+大足石刻5日4晚拼小团,8人小团·赠两江游船·文化宝藏宝顶山+北山石刻·神奇武隆天生三桥+地缝·打卡市区网红,重庆出发,2055,6300,5.0,/images/routes/route_36502883.jpg,"0购物,成团保障,0自费",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 大足石刻建议请讲解员，否则就是看石头。我可以帮你安排专业讲解。
518,72506211,私家团,重庆+成都+乐山3日2晚私家团,【初夏特惠 咨询客服立享折扣】打卡8D魔幻山城洪崖洞璀璨夜景、长江索道跨江风光，邂逅成都呆萌国宝大熊猫，漫步宽窄巷子古韵老街，瞻仰乐山大佛千年人文奇观。,重庆出发,2323,8300,,/images/routes/route_72506211.jpg,成团保障,100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。
519,34890608,拼小团,重庆3日2晚拼小团,『8人团·两江游船+云端之眼』酒店任选·魔幻山城·长江索道+轻轨穿楼+洪崖洞·专车接送机,重庆出发,664,2100,5.0,/images/routes/route_34890608.jpg,"0购物,成团保障,0自费",Small group (max 8 pax) - more personal experience | Make friends with fellow travelers,小团灵活性高，我可以根据大家兴趣微调行程。 这条路线评分5.0分，口碑很好，放心选。
520,34367980,自由行,重庆+长江三峡4日3晚自由行,长江印象游轮·可选赠重庆一日游【精致舒适·载客适中】【180度一线江景阳台房|躺游醉美峡江+渝楚美食|赠下午茶】【核心景区邮轮巡游：瞿塘胜景·秀美巫峡+精华景区上岸游】重庆到宜昌,重庆出发,1539,5200,4.3,/images/routes/route_34367980.jpg,,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,注意：这条路线评分4.3分，我会帮你优化体验。
521,54078567,一日游,奉节白帝城+巫山小三峡一日游【1单1车1团*双5A景区】,,奉节出发,578,1300,5.0,/images/routes/route_54078567.jpg,"立即确认,无购物,上门接,有条件退",World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
522,48625786,一日游,重庆金佛山一日游【Vip私家包车、含门票+纯玩无购物】,,重庆出发,358,900,4.8,/images/routes/route_48625786.jpg,"立即确认,无购物,上门接,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分4.8分，口碑很好，放心选。
523,49995483,一日游,巫山神女峰一日游【纯玩· 6人精品小团·上门接送·巫山出发】,,巫山出发,299,600,5.0,/images/routes/route_49995483.jpg,"立即确认,无购物,上门接,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
524,58927404,私家团,重庆+成都+九寨沟+都江堰7日6晚私家团,节后错峰「降幅真的大」!【渝蓉双城·童话九黄】赠两江夜游游船【童话世界·九寨沟&人间瑶池·黄龙】+世遗都江堰&熊猫谷<宿品质5钻酒店·专属用车·24H管家在线>,重庆出发,3880,14300,5.0,/images/routes/route_58927404.jpg,成团保障,100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。 这条路线评分5.0分，口碑很好，放心选。
525,51646681,一日游,奉节+巫山+三峡之巅+巫山小三峡一日游【私家小团·一单一团】,,奉节出发,368,900,5.0,/images/routes/route_51646681.jpg,"立即确认,无购物,上门接,有条件退",World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
526,105629804,一日游,奉节三峡之巅 全程徒步赢奖牌 一日游 含车接车送,,奉节出发,238,500,5.0,/images/routes/route_105629804.jpg,"无购物,上门接,有条件退",World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
527,57330115,拼小团,武隆区2日1晚拼小团,8人小团·赠『仙女山树顶漫步』核心景点『天生三桥+仙女山+龙水峡地缝+天坑寨子』,重庆出发,998,2900,4.5,/images/routes/route_57330115.jpg,"免费退,立即确认,0购物,成团保障,上门接,0自费",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 小团灵活性高，我可以根据大家兴趣微调行程。
528,72354209,私家团,重庆+成都+都江堰+三星堆博物馆6日5晚私家团,初夏福利来袭，咨询客服下单立减288*【咨询客服限时赠送三星堆拼团讲解】【赠送重庆两江夜游船票】看大熊猫·探秘三星堆+亲子模拟考古做青铜器·千年古堰·重庆市区网红打卡,重庆出发,3256,12000,,/images/routes/route_72354209.png,成团保障,100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。
529,90934690,一日游,荣昌安陶小镇+万灵古镇+纯玩包车一日游（品美食、赏美景）,,重庆出发,600,1400,5.0,/images/routes/route_90934690.png,"立即确认,无购物,上门接,有条件退","Ancient town with 1700+ years history | Try local snacks: 陈麻花, 酸辣粉 | Traditional crafts and tea houses",一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
530,34334139,自由行,重庆+长江三峡4日3晚自由行,美维游轮【服务口碑好·爸妈放心游】可选赠重庆一日游【180度一线江景阳台房|中西自助美食+晚会表演】【凯悦|旗舰电推+凯珍凯娜凯蒂】【瞿塘峡·秀美巫峡+含3大精华景点上岸】重庆到宜昌,重庆出发,1376,4700,4.6,/images/routes/route_34334139.jpg,,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
531,93754310,一日游,奉节+白帝城+瞿塘峡+三峡之巅·亲子一日游（含白帝城讲解）,,奉节出发,349,800,5.0,/images/routes/route_93754310.png,"立即确认,无购物,上门接,有条件退",World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
532,27323012,跟团游,重庆5日4晚跟团游,『自营·山城全景·16人团』赠夜游船票/WFC2选1+3正特色餐+全程5钻酒店+专车接送机/站,重庆出发,2815,7800,4.9,/images/routes/route_27323012.jpg,"0购物,成团保障",Carefully selected top attractions | Professional English-speaking guide,这条路线评分4.9分，口碑很好，放心选。
533,71798701,私家团,重庆+武隆天生三桥+龙水峡地缝2日1晚私家团,初夏特惠来袭咨询立减100·宿市中心高口碑豪华5钻【限时赠两江夜游船票打卡网红夜景拍摄机位&逐玉同款宅院】享重庆市区citywalk打卡美食小吃,重庆出发,1666,5900,,/images/routes/route_71798701.jpg,"免费退,成团保障",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 龙水峡地缝较窄，夏季凉爽，是天然空调。
534,27753276,跟团游,重庆4日3晚跟团游,16人精致团『赠』特色小吃+两江夜游船票or73层WFC观景台2选1 Day3自由行|商圈3晚连住,重庆出发,1508,4200,5.0,/images/routes/route_27753276.png,"0购物,成团保障",Carefully selected top attractions | Professional English-speaking guide,这条路线评分5.0分，口碑很好，放心选。
535,66885582,自由行,重庆4日3晚自由行,【精选核心商圈4钻/5钻酒店任意选】【精品车型任意选经济型5座/商务7座/商务9座等等】随心所欲想停就停想走就走/经典行程，纯玩无购物/无进店,重庆出发,833,2900,,/images/routes/route_66885582.jpg,无购物,Carefully selected top attractions | Professional English-speaking guide,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
536,48657422,一日游,重庆黑山谷风景区一日游【Vip私家包车、含门票，纯玩无购物】,,重庆出发,313,800,5.0,/images/routes/route_48657422.jpg,"立即确认,无购物,上门接,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
537,107642030,一日游,【文史大咖】重庆三峡博物馆3小时精讲15人小团+专业翻译耳机,,重庆出发,129,500,5.0,/images/routes/route_107642030.png,"立即确认,无购物,有条件退",World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
538,48654182,一日游,重庆丰都鬼城名山景区一日游【Vip私家包车+含门票+纯玩团】,,重庆出发,330,800,5.0,/images/routes/route_48654182.jpg,"立即确认,无购物,上门接,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
539,71793327,私家团,重庆+武隆区7日6晚私家团,【初夏火爆热销～咨询立减至高 288优惠】下单赠长江索道&两江夜游.武隆全景.打卡天生三桥 | 仙女山 | 龙水峡地缝 | 芙蓉洞 | 24H专车接送机/站| 行程可自由调整，行程有你做主,重庆出发,4295,15700,,/images/routes/route_71793327.png,成团保障,UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 私家团完全按你的节奏来，老人小孩也不用赶时间。
540,53755343,一日游,重庆+渣滓洞+白公馆+周公馆一日活动【红色打卡路线，独立包车】,,重庆出发,398,1100,4.9,/images/routes/route_53755343.jpg,"立即确认,无购物,上门接,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分4.9分，口碑很好，放心选。
541,97999518,一日游,重庆长江索道+轻轨穿楼+磁器口古镇+白公馆+渣滓洞+洪崖洞,,重庆出发,98,400,5.0,/images/routes/route_97999518.jpg,"立即确认,无购物,上门接,有条件退",Iconic stilt-house complex - Chongqing's most photogenic spot | Best night view - like real-life Spirited Away | Traditional Bayu architecture with modern lights,洪崖洞最佳拍照时间是日落后30分钟，灯光全开但未过热。 建议从千厮门大桥拍摄全景，比在近处拍更震撼。
542,71308252,拼小团,武隆区+彭水2日1晚拼小团,『8人小团·赠乌江游船』商圈上门接·舒适3钻酒店·探秘苗文化·逛千年古镇·赏武隆奇观,重庆出发,706,2100,,/images/routes/route_71308252.jpg,"0购物,成团保障,上门接,0自费",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 小团灵活性高，我可以根据大家兴趣微调行程。
543,71797602,私家团,重庆+武隆区+武隆天生三桥+仙女山国家森林公园3日2晚私家团,【初夏特惠来袭+咨询领取至高立减800】宿口碑5钻酒店【赠】两江夜游船票+长江索道票>解锁武隆地心秘境+邂逅仙女山云端牧歌,重庆出发,3084,11100,,/images/routes/route_71797602.jpg,成团保障,UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 私家团完全按你的节奏来，老人小孩也不用赶时间。
544,89111656,一日游,【2-8人优质小团】重庆武隆天生三桥+龙水峡地缝+乌江一日游,,重庆出发,438,1000,5.0,/images/routes/route_89111656.jpg,"立即确认,无购物,上门接,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 龙水峡地缝较窄，夏季凉爽，是天然空调。
545,34365007,自由行,重庆+长江三峡4日3晚自由行,楚天游轮长江发现传说·选赠重庆一日游【180度一线江景阳台房|中西自助美食】【瞿塘胜景·秀美巫峡+3大精华景区下船游：丰都鬼城·神农溪·三峡大坝】重庆到宜昌,重庆出发,1539,5200,,/images/routes/route_34365007.jpg,,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
546,83619020,一日游,【精品私家团】重庆渣滓洞+白公馆90分钟文史大咖人工讲解,,重庆出发,100,500,4.4,/images/routes/route_83619020.jpg,"无购物,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 注意：这条路线评分4.4分，我会帮你优化体验。
547,62210603,拼小团,重庆+成都+九寨沟5日4晚拼小团,8人纯玩小团|赠两江夜游船|都江堰/三星堆含导游讲解+动车往返九寨&24h专车接送机/站,重庆出发,3577,10500,5.0,/images/routes/route_62210603.png,"0购物,成团保障,0自费",Small group (max 8 pax) - more personal experience | Make friends with fellow travelers,小团灵活性高，我可以根据大家兴趣微调行程。 这条路线评分5.0分，口碑很好，放心选。
548,71938008,私家团,武隆区+彭水4日3晚私家团,【夏季特惠来袭 咨询客服至高立减288】一单一团・独立小包！打卡武隆天生三桥、龙水峡地缝、龚滩古镇、乌江画廊、蚩尤九黎城。专属行程管家，解锁渝东南山水人文风光。,重庆出发,3356,12100,,/images/routes/route_71938008.jpg,成团保障,UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 私家团完全按你的节奏来，老人小孩也不用赶时间。
549,36502349,拼小团,重庆+武隆区+大足石刻5日4晚拼小团,『8人团·赠两江游船』文化宝藏宝顶山+北山石刻·武隆奇观天生三桥+仙女山·打卡市区网红,重庆出发,2066,6300,4.3,/images/routes/route_36502349.jpg,"0购物,成团保障,0自费",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 大足石刻建议请讲解员，否则就是看石头。我可以帮你安排专业讲解。
550,40359855,自由行,重庆+长江三峡3日2晚自由行,黄金二号游轮|1.7万吨巨舰【江景阳台房|1.1米舒适床宽+自助美食】【长江三峡核心景区：瞿塘胜景·秀美巫峡+精选上岸游览景点】免费巴士赴万州登船到宜昌·重庆集合出发·可选赠重庆一日游,重庆出发,1425,4800,,/images/routes/route_40359855.jpg,,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
551,52382181,一日游,816核工厂+重庆武隆天生三桥一日游,,重庆出发,638,1400,4.9,/images/routes/route_52382181.jpg,"立即确认,无购物,上门接,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
552,83808146,一日游,【夜游小团】重庆山城夜景一日游.观山城全貌+两江交汇,,重庆出发,88,200,5.0,/images/routes/route_83808146.jpg,"立即确认,无购物,上门接,有条件退",Night cruise on Yangtze & Jialing Rivers | Stunning skyline view with colorful lights | See Hongyaodong from the water,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
553,89742639,一日游,重庆大足石刻一日游【2-14人纯玩小团/上门接送/直达景区】,,重庆出发,298,600,5.0,/images/routes/route_89742639.jpg,"立即确认,无购物,上门接,有条件退","UNESCO World Heritage - 5,000+ Buddhist carvings | 1,000+ years of history - Tang & Song dynasties | World-class stone art mastery",大足石刻建议请讲解员，否则就是看石头。我可以帮你安排专业讲解。 宝顶山游览约3小时，穿舒适鞋，有部分爬坡。
554,71790597,私家团,重庆+武隆区+武隆天生三桥+仙女山国家森林公园+龙水峡地缝7日6晚私家团,【初夏特惠来袭+咨询领取至高立减800】宿口碑5钻酒店【赠】两江夜游船票+长江索道票>解锁武隆地心秘境+邂逅仙女山云端牧歌,重庆出发,4521,16500,,/images/routes/route_71790597.png,成团保障,UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 龙水峡地缝较窄，夏季凉爽，是天然空调。
555,100239024,一日游,私家团丨渝见重庆丨经典线路一日活动（含1949演出）,,重庆出发,353,1100,5.0,/images/routes/route_100239024.jpg,"立即确认,无购物,上门接,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
556,100467552,一日游,重庆武隆天生三桥+龙水峡地缝一日游【纯玩无购物】,,重庆出发,118,300,4.9,/images/routes/route_100467552.jpg,"立即确认,无购物,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 龙水峡地缝较窄，夏季凉爽，是天然空调。
557,61730294,拼小团,重庆+成都+九寨沟5日4晚拼小团,8人内精品小团·赠两江夜游船·氧气+动车九寨轻松游+全程5钻酒店+赠24h专车接送机/站,重庆出发,3189,9500,,/images/routes/route_61730294.jpg,"0购物,成团保障,0自费",Small group (max 8 pax) - more personal experience | Make friends with fellow travelers,小团灵活性高，我可以根据大家兴趣微调行程。
558,71689056,私家团,重庆+武隆区6日5晚私家团,【初夏火爆热销～咨询立减至高 288优惠】下单赠长江索道&两江夜游.武隆全景.打卡天生三桥 | 仙女山 | 龙水峡地缝 | 芙蓉洞 | 24H专车接送机/站| 行程可自由调整，行程有你做主,重庆出发,4285,15600,,/images/routes/route_71689056.png,成团保障,UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 私家团完全按你的节奏来，老人小孩也不用赶时间。
559,100068362,一日游,【纯玩团】816工程+武陵山大裂谷+白鹤梁水下博物馆,,重庆出发,258,900,5.0,/images/routes/route_100068362.jpg,"立即确认,无购物,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
560,72140770,自由行,万州区+巴中3日2晚自由行,重庆万州+巴中·万州大瀑布+恩阳古镇~0购物！纯玩自由行！,重庆出发,576,2000,5.0,/images/routes/route_72140770.jpg,0购物,Carefully selected top attractions | Professional English-speaking guide,这条路线评分5.0分，口碑很好，放心选。
561,106543262,一日游,巫山小三峡+小小三峡【门票+船票】,,巫山出发,120,500,,/images/routes/route_106543262.jpg,"立即确认,无购物,有条件退",World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
